"","price","amount"
"594","10368.75000000","0.00120000"
"595","10368.80000000","0.00436100"
"596","10369.00000000","0.01180100"
"597","10369.12000000","0.00096500"
"598","10369.30000000","0.54945000"
"599","10369.74000000","0.10659900"
"600","10369.81000000","0.00110600"
"601","10369.91000000","0.01230000"
"602","10369.98000000","0.00131200"
"603","10370.00000000","4.47992600"
"604","10370.05000000","0.00731400"
"605","10370.15000000","0.00106100"
"606","10370.21000000","0.00457700"
"607","10370.27000000","0.08322700"
"608","10370.30000000","0.00144200"
"609","10370.37000000","0.00381500"
"610","10370.45000000","0.03278700"
"611","10370.59000000","0.00626500"
"612","10370.67000000","0.00110700"
"613","10370.96000000","0.00441800"
"614","10371.00000000","1.39986300"
"615","10371.18000000","0.00402700"
"616","10371.27000000","0.00119800"
"617","10371.38000000","0.00537000"
"618","10371.42000000","0.01825200"
"619","10371.49000000","0.00101800"
"620","10371.64000000","0.01000000"
"621","10372.00000000","2.33575500"
"622","10372.24000000","0.00117100"
"623","10372.56000000","0.00730300"
"624","10372.59000000","0.11495500"
"625","10372.63000000","0.00193100"
"626","10372.72000000","0.03676600"
"627","10372.77000000","0.01554000"
"628","10373.00000000","0.00767700"
"629","10373.03000000","0.00150000"
"630","10373.23000000","0.02500000"
"631","10373.27000000","0.00128000"
"632","10373.29000000","0.00101200"
"633","10373.32000000","0.04476000"
"634","10373.33000000","0.00300000"
"635","10373.35000000","0.00231400"
"636","10373.39000000","0.01940500"
"637","10373.41000000","0.00460000"
"638","10373.54000000","0.00118500"
"639","10373.69000000","0.05060400"
"640","10373.82000000","0.00108700"
"641","10374.00000000","4.06011200"
"642","10374.15000000","0.00144600"
"643","10374.17000000","0.00385600"
"644","10374.39000000","0.00099200"
"645","10374.89000000","0.00441300"
"646","10375.00000000","1.21746600"
"647","10375.03000000","0.00222700"
"648","10375.27000000","0.00160000"
"649","10375.45000000","0.00347600"
"650","10375.57000000","0.00151800"
"651","10375.70000000","0.45282300"
"652","10375.87000000","0.00963800"
"653","10376.00000000","1.64984800"
"654","10376.17000000","0.00151400"
"655","10376.27000000","0.04388100"
"656","10376.57000000","0.01712300"
"657","10376.61000000","0.00381100"
"658","10376.74000000","0.00290500"
"659","10376.77000000","0.00581400"
"660","10377.00000000","1.14767500"
"661","10377.55000000","0.00179700"
"662","10377.76000000","0.00201300"
"663","10378.00000000","0.10096500"
"664","10378.02000000","0.00137500"
"665","10378.37000000","0.00111200"
"666","10378.39000000","0.50253400"
"667","10378.46000000","0.00106000"
"668","10378.65000000","0.09063700"
"669","10378.68000000","0.00113900"
"670","10378.87000000","0.06000000"
"671","10378.94000000","0.00305000"
"672","10379.00000000","0.01716800"
"673","10379.08000000","0.00394800"
"674","10379.12000000","0.00729200"
"675","10379.15000000","0.01156200"
"676","10379.28000000","0.00100000"
"677","10379.30000000","0.00221000"
"678","10379.50000000","0.18877700"
"679","10379.59000000","0.20000000"
"680","10379.71000000","0.00300000"
"681","10379.73000000","0.00936100"
"682","10379.74000000","0.00150000"
"683","10379.79000000","0.00116400"
"684","10379.83000000","0.00106000"
"685","10379.84000000","0.00253100"
"686","10379.94000000","0.00166200"
"687","10380.00000000","17.31645200"
"688","10380.03000000","0.00106400"
"689","10380.05000000","0.00106000"
"690","10380.06000000","0.00400500"
"691","10380.13000000","0.00117800"
"692","10380.15000000","0.00106000"
"693","10380.55000000","0.00620800"
"694","10380.67000000","0.00176900"
"695","10380.72000000","0.32470500"
"696","10380.76000000","0.00736700"
"697","10380.79000000","0.00155900"
"698","10380.81000000","0.01926600"
"699","10380.93000000","0.00314900"
"700","10380.95000000","0.00193600"
"701","10381.00000000","0.03472200"
"702","10381.12000000","0.00116000"
"703","10381.31000000","0.00121500"
"704","10381.46000000","0.03931200"
"705","10381.48000000","0.00271300"
"706","10381.49000000","0.01622300"
"707","10381.52000000","0.00192900"
"708","10381.55000000","0.00106700"
"709","10381.58000000","0.00155700"
"710","10381.65000000","0.00193900"
"711","10381.70000000","0.00126900"
"712","10381.79000000","0.02005200"
"713","10381.80000000","0.00106000"
"714","10381.91000000","0.00523400"
"715","10381.97000000","0.09653800"
"716","10381.99000000","0.00144400"
"717","10382.00000000","0.15506000"
"718","10382.06000000","0.00116300"
"719","10382.20000000","0.12105800"
"720","10382.21000000","0.00664900"
